"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36668","Ответ FAQ №6 соответствует вопросу","tests","2026-08-08","passed","2026-08-08","TestFaq","test_faq","",""
"","11932","Ответ FAQ №3 соответствует вопросу","tests","2026-08-08","passed","2026-08-08","TestFaq","test_faq","",""
"","18155","Ответ FAQ №7 соответствует вопросу","tests","2026-08-08","passed","2026-08-08","TestFaq","test_faq","",""
"","11240","Ответ FAQ №5 соответствует вопросу","tests","2026-08-08","passed","2026-08-08","TestFaq","test_faq","",""
"","11872","Ответ FAQ №4 соответствует вопросу","tests","2026-08-08","passed","2026-08-08","TestFaq","test_faq","",""
"","16199","Ответ FAQ №2 соответствует вопросу","tests","2026-08-08","passed","2026-08-08","TestFaq","test_faq","",""
"","14177","Ответ FAQ №0 соответствует вопросу","tests","2026-08-08","passed","2026-08-08","TestFaq","test_faq","",""
"","2168","Логотип Самоката возвращает на главную страницу","tests","2026-08-08","passed","2026-08-08","TestHeaderNavigation","test_navigation","",""
"","13605","Успешный заказ, точка входа: top","tests","2026-08-08","passed","2026-08-08","TestOrder","test_order","",""
"","11519","Ответ FAQ №1 соответствует вопросу","tests","2026-08-08","passed","2026-08-08","TestFaq","test_faq","",""
"","39008","Успешный заказ, точка входа: bottom","tests","2026-08-08","passed","2026-08-08","TestOrder","test_order","",""
"","13753","Логотип Яндекса открывает Дзен в новом окне","tests","2026-08-08","passed","2026-08-08","TestHeaderNavigation","test_navigation","",""
